date,value
2021-01-05 00:00:00+01:00,165.0
2021-01-14 00:00:00+01:00,171.0
2021-01-19 00:00:00+01:00,171.0
2021-01-27 00:00:00+01:00,171.0
2021-02-04 00:00:00+01:00,171.0
2021-02-16 00:00:00+01:00,171.0
2021-02-23 00:00:00+01:00,171.0
2021-03-04 00:00:00+01:00,171.0
2021-03-08 00:00:00+01:00,171.0
2021-04-09 00:00:00+02:00,176.0
2021-04-15 00:00:00+02:00,176.0
2021-05-12 00:00:00+02:00,177.0
2021-05-20 00:00:00+02:00,177.0
2021-05-25 00:00:00+02:00,177.0
2021-06-03 00:00:00+02:00,177.0
2021-06-11 00:00:00+02:00,162.0
2021-06-18 00:00:00+02:00,168.0
2021-06-24 00:00:00+02:00,172.0
2021-06-30 00:00:00+02:00,172.0
2021-07-09 00:00:00+02:00,183.0
2021-07-15 00:00:00+02:00,183.0
2021-08-17 00:00:00+02:00,204.0
2021-09-06 00:00:00+02:00,204.0
2021-10-01 00:00:00+02:00,217.0
2021-10-06 00:00:00+02:00,224.0
2021-10-15 00:00:00+02:00,238.0
2021-10-23 00:00:00+02:00,244.0
2021-10-29 00:00:00+02:00,247.0
2021-11-05 00:00:00+01:00,252.0
2021-11-11 00:00:00+01:00,256.0
2021-11-18 00:00:00+01:00,256.0
2021-11-25 00:00:00+01:00,258.0
2021-12-03 00:00:00+01:00,258.0
2021-12-13 00:00:00+01:00,258.0
2021-12-28 00:00:00+01:00,259.0
2021-12-30 00:00:00+01:00,259.0
2022-01-04 00:00:00+01:00,259.0
